identificador,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49
1,nombreA1,apellidoA1,43863,120.05,Activo,42736,38,24,93,87,7,47,72,19,4,83,48,98,57,14,56,73,12,65,85,60,37,6,39,70,77,6,82,41,47,18,31,98,88,65,78,78,17,66,57,34,81,88,19
2,nombreA2,apellidoA2,43892,121.33,Activo,42737,37,66,25,46,16,82,63,2,58,88,36,29,13,19,37,60,13,54,31,47,7,26,80,34,61,82,73,74,18,73,87,15,8,89,92,6,71,48,40,89,77,4,27
3,nombreA3,apellidoA3,43923,122.55,Activo,42738,23,17,93,64,33,79,49,64,51,39,75,41,36,27,40,95,18,62,51,61,96,29,93,32,23,34,94,45,58,75,98,75,8,12,49,50,79,45,87,75,26,13,96
4,nombreA4,apellidoA4,43953,123.81,Activo,42739,55,41,98,74,23,24,28,22,36,84,64,74,44,4,81,3,83,5,75,81,16,86,7,45,62,32,11,44,60,8,90,46,54,5,43,74,67,35,21,40,77,69,41
5,nombreA5,apellidoA5,43984,125.06,Activo,42740,15,31,4,14,17,49,48,49,66,27,91,78,55,22,38,20,0,63,77,63,14,8,14,99,73,60,47,70,37,34,10,1,37,63,15,53,78,21,78,88,54,8,12
6,nombreA6,apellidoA6,44014,126.31,Activo,42741,76,86,36,98,65,72,61,98,20,78,75,42,69,22,42,65,34,63,79,7,89,97,7,11,88,48,19,41,51,1,89,42,27,65,71,87,43,72,1,96,12,43,98
7,nombreA7,apellidoA7,44045,127.56,Activo,42742,32,74,16,48,63,21,73,75,88,57,2,86,89,1,27,78,33,20,51,3,30,93,7,74,49,94,15,2,4,55,41,73,90,37,97,11,33,67,10,89,75,33,26
8,nombreA8,apellidoA8,44076,128.81,Activo,42743,43,45,9,81,90,45,84,92,1,64,30,62,97,55,34,40,79,15,50,9,95,92,1,91,42,99,47,52,47,23,71,90,68,6,63,96,61,74,73,45,52,30,90
9,nombreA9,apellidoA9,44106,130.06,Activo,42744,45,4,10,25,90,31,53,99,43,8,26,20,70,17,92,31,93,79,59,65,62,91,77,45,51,44,51,2,2,57,38,68,93,13,45,70,32,14,59,26,27,72,30
10,nombreA10,apellidoA10,44137,131.31,Activo,42745,81,48,10,52,0,89,72,64,7,42,5,47,43,95,47,1,69,5,8,45,60,59,38,92,29,89,53,97,26,53,60,76,4,43,48,6,31,84,99,51,95,54,72
